
2024/10/26 (14:05:54) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:05:54) | INFO: Running on /dev/pts/0
2024/10/26 (14:05:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:32:19) | ===> btop++ v.1.2.13
2024/10/26 (14:32:19) | INFO: Logger set to DEBUG
2024/10/26 (14:32:19) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:32:19) | INFO: Running on /dev/pts/0
2024/10/26 (14:32:19) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:34:15) | ===> btop++ v.1.2.13
2024/10/26 (14:34:15) | INFO: Logger set to DEBUG
2024/10/26 (14:34:15) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:34:15) | INFO: Running on /dev/pts/0
2024/10/26 (14:34:15) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:34:34) | ===> btop++ v.1.2.13
2024/10/26 (14:34:34) | INFO: Logger set to DEBUG
2024/10/26 (14:34:34) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:34:34) | INFO: Running on /dev/pts/0
2024/10/26 (14:34:34) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:35:09) | ===> btop++ v.1.2.13
2024/10/26 (14:35:09) | INFO: Logger set to DEBUG
2024/10/26 (14:35:09) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:35:09) | INFO: Running on /dev/pts/0
2024/10/26 (14:35:09) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:36:07) | ===> btop++ v.1.2.13
2024/10/26 (14:36:07) | INFO: Logger set to DEBUG
2024/10/26 (14:36:07) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:36:07) | INFO: Running on /dev/pts/0
2024/10/26 (14:36:07) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:36:50) | ===> btop++ v.1.2.13
2024/10/26 (14:36:50) | INFO: Logger set to DEBUG
2024/10/26 (14:36:50) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:36:50) | INFO: Running on /dev/pts/0
2024/10/26 (14:36:50) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:37:31) | ===> btop++ v.1.2.13
2024/10/26 (14:37:31) | INFO: Logger set to DEBUG
2024/10/26 (14:37:31) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:37:31) | INFO: Running on /dev/pts/0
2024/10/26 (14:37:31) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:38:07) | ===> btop++ v.1.2.13
2024/10/26 (14:38:07) | INFO: Logger set to DEBUG
2024/10/26 (14:38:07) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:38:07) | INFO: Running on /dev/pts/0
2024/10/26 (14:38:07) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:39:11) | ===> btop++ v.1.2.13
2024/10/26 (14:39:11) | INFO: Logger set to DEBUG
2024/10/26 (14:39:11) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:39:11) | INFO: Running on /dev/pts/0
2024/10/26 (14:39:11) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:40:08) | ===> btop++ v.1.2.13
2024/10/26 (14:40:08) | INFO: Logger set to DEBUG
2024/10/26 (14:40:08) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:40:08) | INFO: Running on /dev/pts/0
2024/10/26 (14:40:08) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:40:51) | ===> btop++ v.1.2.13
2024/10/26 (14:40:51) | INFO: Logger set to DEBUG
2024/10/26 (14:40:51) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:40:51) | INFO: Running on /dev/pts/0
2024/10/26 (14:40:51) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:42:00) | ===> btop++ v.1.2.13
2024/10/26 (14:42:00) | INFO: Logger set to DEBUG
2024/10/26 (14:42:00) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:42:00) | INFO: Running on /dev/pts/0
2024/10/26 (14:42:00) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:42:25) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:42:32) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:42:46) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:43:21) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:43:26) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:43:27) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:46:48) | ===> btop++ v.1.2.13
2024/10/26 (14:46:48) | INFO: Logger set to DEBUG
2024/10/26 (14:46:48) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:46:48) | INFO: Running on /dev/pts/0
2024/10/26 (14:46:48) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:47:41) | ===> btop++ v.1.2.13
2024/10/26 (14:47:41) | INFO: Logger set to DEBUG
2024/10/26 (14:47:41) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:47:41) | INFO: Running on /dev/pts/0
2024/10/26 (14:47:41) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:48:48) | ===> btop++ v.1.2.13
2024/10/26 (14:48:48) | INFO: Logger set to DEBUG
2024/10/26 (14:48:48) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:48:48) | INFO: Running on /dev/pts/0
2024/10/26 (14:48:48) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:50:16) | ===> btop++ v.1.2.13
2024/10/26 (14:50:16) | INFO: Logger set to DEBUG
2024/10/26 (14:50:16) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:50:16) | INFO: Running on /dev/pts/0
2024/10/26 (14:50:16) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:51:05) | DEBUG: Writing new config file
2024/10/26 (14:51:05) | INFO: Quitting! Runtime: 00:00:49

2024/10/26 (14:51:06) | ===> btop++ v.1.2.13
2024/10/26 (14:51:06) | INFO: Logger set to DEBUG
2024/10/26 (14:51:06) | DEBUG: Using locale en_US.UTF-8
